1,0,100,0,0
2,6,100,4,4
3,17,100,10,10
4,45,100,21,22
5,61,100,25,27
6,74,100,31,33
7,93,100,20,26
8,93,100,21,26
9,94,100,22,30
10,96,100,24,27
11,99,100,33,38
12,99,100,27,30
13,97,100,26,32
14,96,100,24,30
15,96,100,27,29
16,99,100,30,35
17,97,100,15,23
18,100,100,27,33
19,99,100,25,32
20,98,100,18,21
21,99,100,25,31
22,98,100,24,31
23,100,100,20,29
24,100,100,22,29
25,99,100,18,25
26,100,100,25,32
27,100,100,22,29
28,100,100,22,29
29,100,100,30,35
30,100,100,32,38
31,100,100,29,34
32,100,100,25,30
33,100,100,22,26
34,100,100,21,26
35,100,100,23,25
36,100,100,20,26
37,100,100,27,32
38,100,100,24,32
39,100,100,22,28
40,99,100,25,32
41,100,100,22,28
42,100,100,29,35
43,100,100,20,26
44,100,100,27,32
45,100,100,24,27
46,99,100,20,23
47,100,100,20,27
48,100,100,27,36
49,100,100,22,26
50,100,100,24,28
