1,0,100,0
2,0,100,0
3,4,100,3
4,11,100,6
5,26,100,17
6,34,100,11
7,55,100,17
8,57,100,20
9,73,100,23
10,67,100,26
11,78,100,21
12,80,100,14
13,88,100,20
14,84,100,15
15,91,100,14
16,93,100,20
17,94,100,15
18,91,100,26
19,96,100,20
20,97,100,23
21,98,100,17
22,99,100,27
23,97,100,22
24,99,100,20
25,100,100,16
26,99,100,19
27,99,100,28
28,97,100,32
29,98,100,19
30,99,100,18
31,99,100,21
32,100,100,21
33,100,100,14
34,100,100,23
35,100,100,23
36,100,100,22
37,100,100,17
38,99,100,22
39,100,100,13
40,99,100,16
41,100,100,15
42,100,100,17
43,100,100,14
44,100,100,22
45,100,100,12
46,100,100,21
47,100,100,15
48,100,100,19
49,100,100,16
50,100,100,17
