1,1.11727
2,0.430634
3,0.774978
4,0.446784
5,0.00988959
6,9.74521e-06
1,0.0633152
2,0.000399631
3,3.82443e-08
1,2.07281
2,2.9221
3,2.83715
4,0.89048
5,0.74812
6,0.870815
7,0.878874
8,0.734506
9,0.654602
10,0.18688
11,0.00709667
12,2.11972e-05
13,1.48109e-05
1,2.17114
2,0.835055
3,0.42649
4,0.0327716
5,0.0341517
6,0.000302351
7,0.000698195
8,1.23146e-07
9,3.07396e-07
1,0.90259
2,0.875794
3,0.582929
4,1.35353
5,1.37913
6,1.87281
7,0.344901
8,0.0478335
9,6.61281e-06
1,2.53048
2,1.57732
3,1.48068
4,1.29386
5,0.791128
6,1.05778
7,1.10179
8,0.479757
9,0.556464
10,0.186873
11,0.0371911
12,0.000360454
1,0.995361
2,0.562439
3,1.57667
4,0.544163
5,1.03105
6,1.73246
7,1.09458
8,1.87967
9,1.29933
10,0.816829
11,0.979627
12,0.449843
13,0.124321
14,0.0619139
15,0.00124287
16,0.00316801
17,2.4736e-06
18,9.47817e-06
1,2.08712
2,0.755793
3,0.392082
4,0.149847
5,0.0117452
6,0.00136266
7,9.4064e-07
1,3.18474
2,1.42036
3,0.566697
4,0.63129
5,0.217956
6,0.20659
7,0.024509
8,5.88188e-05
1,1.36629
2,0.500531
3,0.439564
4,0.102585
5,0.041874
6,1.53008e-05
