1,2,100,2
2,6,100,4
3,13,100,9
4,49,100,23
5,63,100,18
6,77,100,19
7,94,100,31
8,91,100,22
9,93,100,27
10,93,100,21
11,95,100,27
12,99,100,26
13,97,100,30
14,99,100,33
15,100,100,22
16,98,100,21
17,98,100,23
18,99,100,19
19,99,100,17
20,99,100,26
21,99,100,25
22,100,100,26
23,99,100,22
24,100,100,21
25,100,100,24
26,100,100,24
27,100,100,34
28,100,100,20
29,100,100,26
30,100,100,19
31,99,100,23
32,100,100,21
33,100,100,23
34,100,100,33
35,100,100,31
36,100,100,24
37,100,100,26
38,100,100,20
39,100,100,25
40,100,100,23
41,100,100,24
42,100,100,28
43,100,100,28
44,100,100,30
45,100,100,28
46,100,100,24
47,100,100,27
48,100,100,24
49,100,100,29
50,100,100,31
