1,0,100,0,0
2,0,100,0,0
3,7,100,5,6
4,14,100,10,11
5,23,100,6,9
6,32,100,14,15
7,39,100,18,20
8,59,100,21,24
9,66,100,21,25
10,64,100,16,20
11,82,100,22,30
12,81,100,18,26
13,91,100,21,26
14,90,100,13,22
15,91,100,26,30
16,92,100,21,30
17,92,100,19,25
18,92,100,18,24
19,93,100,23,30
20,98,100,17,25
21,96,100,22,28
22,97,100,18,22
23,100,100,11,21
24,98,100,21,26
25,99,100,22,33
26,99,100,24,35
27,100,100,16,26
28,100,100,22,26
29,100,100,24,36
30,100,100,16,21
31,99,100,25,34
32,100,100,17,29
33,99,100,29,40
34,99,100,21,33
35,98,100,20,28
36,99,100,23,27
37,100,100,23,28
38,99,100,15,19
39,100,100,19,28
40,100,100,14,21
41,100,100,21,28
42,100,100,21,28
43,100,100,22,24
44,100,100,25,33
45,100,100,19,25
46,100,100,18,25
47,100,100,21,29
48,100,100,23,34
49,100,100,12,17
50,100,100,26,36
