1,0,1000,0,0
2,4,1000,4,4
3,42,1000,39,39
4,122,1000,79,86
5,250,1000,128,140
6,326,1000,150,167
7,448,1000,158,186
8,552,1000,178,212
9,614,1000,186,223
10,715,1000,196,255
11,729,1000,182,235
12,793,1000,172,217
13,854,1000,182,246
14,872,1000,199,261
15,896,1000,179,256
16,911,1000,186,257
17,949,1000,188,261
18,942,1000,191,252
19,966,1000,221,287
20,960,1000,207,268
21,971,1000,179,246
22,980,1000,226,283
23,983,1000,209,279
24,981,1000,195,261
25,991,1000,198,276
26,987,1000,201,254
27,993,1000,195,261
28,995,1000,197,275
29,992,1000,189,260
30,991,1000,198,270
31,994,1000,190,260
32,994,1000,179,254
33,1000,1000,194,263
34,998,1000,195,263
35,998,1000,203,286
36,999,1000,187,264
37,999,1000,205,288
38,998,1000,184,270
39,996,1000,178,258
40,999,1000,215,293
41,999,1000,195,283
42,999,1000,209,265
43,1000,1000,189,251
44,1000,1000,210,288
45,1000,1000,183,243
46,1000,1000,199,264
47,1000,1000,222,299
48,1000,1000,206,276
49,1000,1000,209,267
50,999,1000,198,272
