1,0,100,0
2,1,100,1
3,2,100,2
4,12,100,6
5,24,100,10
6,23,100,10
7,46,100,14
8,52,100,19
9,72,100,20
10,74,100,18
11,76,100,19
12,73,100,15
13,81,100,18
14,87,100,17
15,85,100,15
16,88,100,24
17,93,100,21
18,90,100,13
19,93,100,23
20,98,100,17
21,100,100,18
22,95,100,23
23,98,100,18
24,97,100,21
25,100,100,18
26,99,100,19
27,94,100,19
28,100,100,13
29,100,100,20
30,100,100,18
31,100,100,18
32,99,100,23
33,100,100,25
34,100,100,11
35,99,100,18
36,100,100,21
37,100,100,23
38,100,100,12
39,100,100,20
40,99,100,15
41,100,100,26
42,100,100,18
43,100,100,13
44,100,100,19
45,100,100,13
46,100,100,18
47,99,100,18
48,100,100,23
49,99,100,18
50,100,100,21
